algo,noise_std,n_outliers,trial,chamfer,hausdorff,accuracy,runtime_s
gair-ransac,0.45,4000,4,0.6702945862650571,2.5151384153232996,0.908508064516129,44.07520532608032
gair-ransac,0.5,0,0,1.0575386253049934,4.666319112289379,0.8484583333333333,44.662065267562866
gair-ransac,0.5,0,1,2.2331690036573817,11.980844198942153,0.8930916666666666,60.600069522857666
gair-ransac,0.5,0,2,1.0930677953566874,4.8195696561629,0.8491833333333333,54.131083965301514
gair-ransac,0.5,0,3,0.630166256510389,2.1545243655251283,0.9179916666666667,55.68655323982239
gair-ransac,0.5,0,4,1.1715370192246688,4.068612845300915,0.8956333333333333,63.493478536605835
gair-ransac,0.5,1000,0,0.6529171472204456,2.4441087316743295,0.9174545454545454,50.38777995109558
gair-ransac,0.5,1000,1,1.1791350298976182,3.7649704293615778,0.8957603305785123,59.92210817337036
gair-ransac,0.5,1000,2,0.6254364408026047,2.4500663353012935,0.9169256198347108,40.94599437713623
gair-ransac,0.5,1000,3,0.6452089088954234,2.5025463140877515,0.9214132231404959,42.35129237174988
gair-ransac,0.5,1000,4,1.1248284063866212,4.905267238277819,0.8418512396694214,46.5084662437439
gair-ransac,0.5,2000,0,1.1934355330758677,4.563794352499079,0.8534344262295082,56.034605979919434
gair-ransac,0.5,2000,1,1.1774703945371057,3.8060957130332707,0.8927049180327868,55.874690771102905
gair-ransac,0.5,2000,2,0.6535284389361147,2.164368096669429,0.9195655737704918,45.99319410324097
gair-ransac,0.5,2000,3,0.6628112390041176,1.8809852372996396,0.9188196721311476,56.98328161239624
gair-ransac,0.5,2000,4,1.1635010145357967,4.957517119429151,0.8442786885245902,50.505539417266846
gair-ransac,0.5,3000,0,0.6770458400222121,2.5197084794962747,0.9194552845528455,49.0926992893219
gair-ransac,0.5,3000,1,1.2226184988930904,4.094742314940464,0.8968048780487805,57.05099701881409
gair-ransac,0.5,3000,2,0.6552332676794976,2.111100256480551,0.9207723577235772,45.59174871444702
gair-ransac,0.5,3000,3,1.148964675478232,5.172681156116195,0.8473008130081301,47.553454875946045
gair-ransac,0.5,3000,4,1.2118175156940305,5.431913417716655,0.897650406504065,51.239208936691284
gair-ransac,0.5,4000,0,0.639001583030014,2.0757023525724647,0.9214032258064516,43.62210178375244
gair-ransac,0.5,4000,1,1.1686518911121102,3.47913954239693,0.8895645161290323,65.17065691947937
gair-ransac,0.5,4000,2,0.6791491332765511,2.7838443128922155,0.9197580645161291,48.38733720779419
gair-ransac,0.5,4000,3,1.168387924974316,4.465313706756955,0.8531935483870968,59.73914051055908
gair-ransac,0.5,4000,4,4.590055275946032,30.01054645773103,0.8905806451612903,58.05338215827942
ransac,0.1,0,0,0.27891386154250575,0.5687905248765632,0.9673083333333333,63.30831694602966
ransac,0.1,0,1,2.9654245536680257,22.816025073448113,0.8096166666666667,51.374311208724976
ransac,0.1,0,2,0.2936150077853343,0.6246793848277292,0.9686083333333333,62.82005310058594
ransac,0.1,0,3,0.2725322168391644,0.7855560391653547,0.96625,77.1883864402771
ransac,0.1,0,4,0.30063950362704484,0.6381972307651733,0.9678333333333333,57.172980546951294
ransac,0.1,1000,0,0.28956885617575384,0.6570314145198537,0.9694793388429752,63.485509395599365
ransac,0.1,1000,1,0.28999232220092896,0.6959611595002845,0.9678760330578512,53.67914843559265
ransac,0.1,1000,2,0.2986697718123533,0.5599501290972233,0.9671735537190083,68.95723724365234
ransac,0.1,1000,3,0.2822683861398046,0.9531822339767969,0.9632231404958678,65.8496253490448
ransac,0.1,1000,4,0.2884541749667957,0.5442759209261355,0.9695785123966942,65.87235403060913
ransac,0.1,2000,0,0.29026968927305535,0.8854383467549989,0.9681803278688524,64.32932448387146
ransac,0.1,2000,1,0.2953650748363159,0.5803923067996373,0.9672622950819673,65.55480933189392
ransac,0.1,2000,2,0.2763135252655654,0.749439625006893,0.9693934426229508,59.70834946632385
ransac,0.1,2000,3,0.2851942508964065,0.7922628090958834,0.9680409836065573,62.549964904785156
ransac,0.1,2000,4,0.2855785674498432,0.559187752430502,0.9667131147540984,71.56492877006531
ransac,0.1,3000,0,0.2961660881942887,0.5745825164339553,0.9677235772357724,57.24468493461609
ransac,0.1,3000,1,0.3128835658929437,0.8759233423383532,0.9665772357723578,69.68824291229248
ransac,0.1,3000,2,0.3024345068486184,0.6343386215006449,0.9655609756097561,58.37618136405945
ransac,0.1,3000,3,0.30092960811596126,0.7119831242438878,0.9644471544715447,64.11422991752625
ransac,0.1,3000,4,0.28281040974512606,0.7545198019692626,0.9672357723577236,56.66741156578064
ransac,0.1,4000,0,0.7772579854759956,5.397470773673711,0.7490483870967742,64.00140976905823
ransac,0.1,4000,1,0.2842002742789696,0.7163024989185532,0.9688064516129032,57.305713176727295
ransac,0.1,4000,2,0.27623270166492847,0.5553015243053494,0.9686370967741935,54.44435715675354
ransac,0.1,4000,3,0.2749054518043751,0.6928812259596797,0.9656935483870968,51.60238265991211
ransac,0.1,4000,4,0.2819932546806456,0.5835476923818406,0.9700725806451613,78.47742938995361
ransac,0.15,0,0,0.26711035927680726,1.0763799574435677,0.9432416666666666,66.87475562095642
ransac,0.15,0,1,0.2738624440598345,1.6498308863888036,0.9377166666666666,61.06913161277771
ransac,0.15,0,2,0.27108002951392673,0.8331024061026691,0.945,67.78437662124634
ransac,0.15,0,3,0.2602901178793996,0.723744275014734,0.946475,77.33379793167114
ransac,0.15,0,4,0.26361343739634274,0.9950833638817171,0.9470833333333334,69.36937856674194
ransac,0.15,1000,0,0.26330413577534895,0.9513473546929403,0.9414628099173554,63.880900144577026
ransac,0.15,1000,1,0.2628905670810078,0.8359196298871884,0.9453223140495868,57.31947183609009
ransac,0.15,1000,2,0.2835659972578488,1.4014540860616986,0.9413388429752066,73.51805186271667
ransac,0.15,1000,3,0.2813914538665029,1.8751802673121807,0.9404297520661157,71.8437991142273
ransac,0.15,1000,4,0.28089846551344644,1.0697418097622857,0.9424710743801653,69.88725686073303
ransac,0.15,2000,0,0.2496535288080751,0.6054944437835283,0.9451475409836065,73.49090552330017
ransac,0.15,2000,1,0.2678220021959321,0.7846052229748111,0.9502704918032787,78.29880976676941
ransac,0.15,2000,2,0.2647168915622756,0.7959486687000793,0.9481967213114754,78.02879285812378
ransac,0.15,2000,3,0.2720744999268044,0.9279779907615353,0.9456311475409837,65.78379344940186
ransac,0.15,2000,4,0.2577882505929535,0.9362453253050228,0.9418196721311476,69.05456256866455
ransac,0.15,3000,0,0.26450652801650054,1.3069241806132408,0.9427886178861788,62.79548668861389
ransac,0.15,3000,1,0.2676544208555166,0.8769968424967046,0.9501056910569106,62.62236571311951
ransac,0.15,3000,2,0.2531700376085095,0.7790476732092484,0.9511056910569106,70.8720190525055
ransac,0.15,3000,3,0.2913541541402206,1.133687286339728,0.9459430894308943,59.207035779953
ransac,0.15,3000,4,0.2858486858558052,1.7217521298221752,0.9419837398373984,69.5974690914154
ransac,0.15,4000,0,0.2850454409944799,1.1722356210610057,0.9463064516129033,67.02855825424194
ransac,0.15,4000,1,0.29153452473990626,1.4731544771057412,0.9398548387096775,75.0900981426239
ransac,0.15,4000,2,0.27273516050244107,1.6661637242005793,0.9387177419354839,72.88082671165466
ransac,0.15,4000,3,0.28694875714684914,0.9208934565906117,0.9463629032258064,77.72347331047058
ransac,0.15,4000,4,0.27047859186752365,0.7827366647417968,0.9498951612903226,72.01127171516418
ransac,0.2,0,0,0.27496058837184156,0.8417256087085909,0.9169333333333334,63.723706007003784
ransac,0.2,0,1,0.2853724604389505,2.0448902378281164,0.91145,54.09707236289978
ransac,0.2,0,2,0.30285401844932447,1.855894457321147,0.91245,53.95968222618103
