curve,algorithm,error_metric,use_normal_coherence,classifier,noise_std,threshold_scale,threshold,run_idx,metric_value
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,1.0,,3.0,0,8.680799025240491
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,1.1,,3.0,0,9.072993494776101
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,1.2,,3.0,0,13.208268869340909
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,1.3,,3.0,0,22.430965541009275
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,1.4,,3.0,0,14.15439851679661
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,1.5,,3.0,0,14.042357826386047
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,1.6,,3.0,0,28.318525174085625
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,1.7,,3.0,0,14.376790914757047
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,1.8,,3.0,0,18.146042194504293
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,1.9,,3.0,0,19.484859506211254
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,2.0,,3.0,0,22.616305750103088
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.1,,3.0,0,1.1716651032349712
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.2,,3.0,0,2.7415893296512186
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.3,,3.0,0,1.9354804331068194
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.4,,3.0,0,1.334461283596695
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.5,,3.0,0,2.380010466600721
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.6,,3.0,0,3.0899209000732104
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.7,,3.0,0,2.9657682471720705
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.8,,3.0,0,4.118510517839946
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.9,,3.0,0,3.168433841570346
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,1.0,,3.0,0,3.3792373909853413
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,1.1,,3.0,0,3.6692172967612686
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,1.2,,3.0,0,3.9859303223940463
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,1.3,,3.0,0,3.36832363607365
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,1.4,,3.0,0,3.857099002174364
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,1.5,,3.0,0,3.5802819937655284
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,1.6,,3.0,0,3.5125890759474863
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,1.7,,3.0,0,4.616223394928976
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,1.8,,3.0,0,4.217520625151994
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,1.9,,3.0,0,3.2565762680521613
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,2.0,,3.0,0,4.291129729817566
