pc,outlier_frac,algo,chamfer_mean,chamfer_std,cd_coverage_mean,cd_coverage_std,cd_accuracy_mean,cd_accuracy_std,hausdorff_mean,hausdorff_std,classification_rate_mean,classification_rate_std,runtime_s_mean,runtime_s_std
acartoon_character,0.25,vanilla,0.1512399929351595,0.013695329147029147,0.01350164566148005,0.0004346092641851317,0.1377383472736794,0.01352639228566063,0.6101649801416806,0.12077640739762131,0.733805,0.007779627578692844,76.37382733500017,6.023795175744909
acartoon_character,0.3,gair-ransac,0.04143096188061909,0.0068719686836537395,0.014934086116628794,0.0017222937190353672,0.026496875763990263,0.0071849662574226545,0.23539040131965447,0.0158066891616474,0.7448653846153845,0.03867271731019774,314.81530475500006,57.66799657451615
acartoon_character,0.3,gc-ransac,0.09625390057695521,0.008570037059940543,0.018794157455031636,0.003573734545537856,0.07745974312192352,0.006894698771701892,0.30199593880940995,0.032485100542257526,0.7689182692307692,0.03572542421932718,304.76163011499995,73.00791363673433
acartoon_character,0.3,lo-ransac,0.1457483226777773,0.009786171149173108,0.013418166642088395,0.000509809528354843,0.13233015603568885,0.009710038351464386,0.5489141846912506,0.09884415667363823,0.7192115384615384,0.006543193096291723,124.62514436999973,9.295054180665431
acartoon_character,0.3,vanilla,0.1475253597595701,0.012004439873962576,0.013681813399683098,0.0004544105782569172,0.13384354635988693,0.01179129124573027,0.5473681924802666,0.09154138107887103,0.7121826923076923,0.0061047908776566,78.23370198500034,6.713080780953874
acartoon_character,0.35,gair-ransac,0.03856809354946836,0.005033192709051624,0.015422350587832475,0.002297151083278229,0.023145742961635834,0.004983563528731578,0.24480698886968097,0.01729980582031196,0.7475138888888889,0.03518520153636634,330.384828665,73.00088457111285
acartoon_character,0.35,gc-ransac,0.09986755827366409,0.008953033261279823,0.017522862572505953,0.0037508449867860462,0.08234469570115811,0.008148882748132101,0.3271010778354542,0.05800061250901607,0.7721342592592593,0.030875290850779172,330.7954824599998,50.73003474404315
acartoon_character,0.35,lo-ransac,0.14967525734717518,0.008802836840124376,0.01336867446455275,0.00043560513937018574,0.13630658288262235,0.00868065040913038,0.5886141646205749,0.0823734407135942,0.7012037037037037,0.0057474179868241375,121.20884375500009,10.029201827888437
acartoon_character,0.35,vanilla,0.15520186910654526,0.010177260756117986,0.013720243749024915,0.0005227582069202351,0.14148162535752026,0.010028646816166638,0.6262639531647721,0.1055093096748767,0.692587962962963,0.005143812508814775,75.93559070499995,5.5920057252859925
acartoon_character,0.4,gair-ransac,0.041573769943086245,0.007521779945265229,0.01542688679917805,0.002405814624794584,0.026146883143908152,0.007287034735545792,0.24849967631588993,0.029131123151994308,0.7505625,0.04355726207978661,321.5891233199998,55.83668894960774
acartoon_character,0.4,gc-ransac,0.10062731932573829,0.007666736555144757,0.017161450546773878,0.002075919932418252,0.08346586877896435,0.007266068759294179,0.3207856877618439,0.041532548431192806,0.75209375,0.015542747387167419,330.52486275500013,58.74284518650122
acartoon_character,0.4,lo-ransac,0.14804710970498702,0.014743267976920842,0.013563280685209044,0.000530533413450642,0.1344838290197779,0.014528048179230346,0.5528608888658952,0.07793300613384628,0.6845803571428571,0.007341864702467932,121.98483663499974,12.715450114731201
acartoon_character,0.4,vanilla,0.1528005202430009,0.008971392484139891,0.014087180009283478,0.00041417000829236663,0.1387133402337174,0.00887273888820392,0.5543430644321575,0.10676582549430477,0.6796116071428571,0.006446057242028495,79.96281882000021,5.661135326491961
anormalsmushroom,0.0,gair-ransac,0.059123226021702356,0.006287261356288198,0.020042709602408913,0.003798719602333521,0.03908051641929338,0.0058699970727907405,0.2325666461495175,0.05350557575640569,0.83110625,0.07286846335900482,189.28994476000008,79.93419171796378
anormalsmushroom,0.0,gc-ransac,0.0740522954662365,0.013730178783158882,0.032602165983276865,0.01289119176129788,0.04145012948295957,0.004767405959826028,0.20626570268913452,0.01833476197779902,0.67226875,0.14581051417647456,282.97789360999957,62.21001931327615
anormalsmushroom,0.0,lo-ransac,0.07576302048786933,0.011883922875735906,0.013887003110014359,0.0007024222677979467,0.06187601737785492,0.011618078633842314,0.33790683653596554,0.09851654460387055,0.9012,0.009578742225969916,56.46312383999975,15.204357114569945
anormalsmushroom,0.0,vanilla,0.07465772472639451,0.008015135592896584,0.01420718613537553,0.000731370897058896,0.06045053859101891,0.007869742915552943,0.33602701518868905,0.08767004683941272,0.87519375,0.014332659326003071,34.51251677500004,7.4255027715608035
anormalsmushroom,0.05,gair-ransac,0.05542252422767822,0.006695719360727355,0.018449647270808625,0.004038040809074503,0.03697287695686955,0.005831332520932183,0.22010986560852083,0.0520488831094673,0.8634404761904761,0.08358420794265291,234.85610813499972,72.3175652273042
anormalsmushroom,0.05,gc-ransac,0.064366704111646,0.007022962861498688,0.022745192064651136,0.00601452596218482,0.04162151204699481,0.005660535004806926,0.20805190715851393,0.021964174083526824,0.789345238095238,0.0999097896900201,262.5649495650001,65.30526225480583
